date,AQI,temperature_c,humidity_percent,wind_speed_kmph
2022-03-28,135,24.5,69,7.3
2022-03-29,289,26.0,28,18.4
2022-03-30,339,31.7,79,8.1
2022-03-31,220,15.7,91,16.5
2022-04-01,431,41.4,86,4.3
2022-04-02,247,22.4,72,1.4
2022-04-03,73,10.2,36,15.7
2022-04-04,191,34.7,72,11.1
2022-04-05,231,30.7,47,10.3
2022-04-06,475,17.6,82,5.8
2022-04-07,299,29.9,34,1.9
2022-04-08,380,13.8,38,9.9
2022-04-09,333,22.8,89,17.4
2022-04-10,300,41.0,66,2.8
2022-04-11,485,10.3,90,18.6
2022-04-12,491,20.5,67,5.9
2022-04-13,244,37.8,92,10.9
2022-04-14,281,43.8,39,1.8
2022-04-15,219,23.2,56,8.8
2022-04-16,325,25.3,94,3.0
2022-04-17,242,27.9,21,1.4
2022-04-18,237,42.3,83,19.3
2022-04-19,266,39.3,55,14.7
2022-04-20,367,11.8,24,14.5
2022-04-21,396,22.5,83,2.3
2022-04-22,82,23.6,26,18.6
2022-04-23,309,36.6,89,9.7
2022-04-24,439,29.1,41,17.1
2022-04-25,246,31.2,93,0.7
2022-04-26,281,44.9,65,6.3
2022-04-27,217,8.0,59,19.9
2022-04-28,409,13.9,80,8.8
2022-04-29,70,21.3,65,17.8
2022-04-30,186,18.9,47,6.9
2022-05-01,44,5.9,54,10.7
2022-05-02,330,8.7,20,17.2
2022-05-03,94,32.2,48,12.3
2022-05-04,374,40.2,28,14.6
2022-05-05,356,25.6,28,5.0
2022-05-06,38,26.6,41,3.5
2022-05-07,373,15.2,82,5.0
2022-05-08,158,35.7,85,10.1
2022-05-09,165,35.1,77,16.1
2022-05-10,92,28.5,89,7.4
2022-05-11,168,13.5,74,11.5
2022-05-12,110,8.9,32,16.2
2022-05-13,421,7.6,38,5.2
2022-05-14,192,28.7,52,17.7
2022-05-15,448,38.0,93,19.1
2022-05-16,318,39.3,84,1.3
2022-05-17,408,23.5,79,1.7
2022-05-18,290,36.4,31,2.3
2022-05-19,260,42.9,62,15.6
2022-05-20,70,16.0,36,4.2
2022-05-21,57,20.9,87,14.7
2022-05-22,164,42.3,48,9.1
2022-05-23,230,18.5,74,16.8
2022-05-24,357,41.6,26,16.3
2022-05-25,297,44.2,63,19.2
2022-05-26,447,31.5,24,5.4
2022-05-27,62,37.7,79,5.0
2022-05-28,77,35.0,25,1.1
2022-05-29,436,33.0,26,8.5
2022-05-30,91,17.3,65,9.5
2022-05-31,245,7.3,76,19.3
2022-06-01,322,18.7,73,16.7
2022-06-02,128,31.7,65,3.8
2022-06-03,201,9.1,29,16.1
2022-06-04,389,5.5,23,4.0
2022-06-05,243,10.6,86,2.0
2022-06-06,64,33.6,44,16.8
2022-06-07,478,43.9,80,19.5
2022-06-08,256,44.3,57,2.2
2022-06-09,130,24.8,51,16.4
2022-06-10,460,39.8,42,17.3
2022-06-11,491,34.5,56,2.8
2022-06-12,160,25.0,22,6.0
2022-06-13,286,27.9,32,14.8
2022-06-14,34,10.5,53,16.3
2022-06-15,247,42.5,84,7.4
2022-06-16,284,19.1,27,3.6
2022-06-17,427,22.8,28,13.1
2022-06-18,388,31.9,47,14.2
2022-06-19,312,18.4,37,10.3
2022-06-20,422,15.2,61,3.3
2022-06-21,236,30.2,60,17.0
2022-06-22,44,6.0,89,13.1
2022-06-23,375,33.8,52,17.4
2022-06-24,71,25.6,73,18.7
2022-06-25,409,29.2,55,16.2
2022-06-26,490,30.3,75,19.2
2022-06-27,208,26.1,36,19.1
2022-06-28,92,28.3,29,12.6
2022-06-29,381,32.4,63,14.7
2022-06-30,260,35.1,21,14.1
2022-07-01,270,34.1,33,12.6
2022-07-02,81,39.8,60,0.9
2022-07-03,125,12.6,21,7.4
2022-07-04,417,21.0,38,2.5
2022-07-05,251,42.9,20,6.4
2022-07-06,436,20.9,21,1.8
2022-07-07,260,10.0,46,18.4
2022-07-08,266,26.0,21,9.3
2022-07-09,172,9.4,70,4.2
2022-07-10,200,13.1,29,11.9
2022-07-11,58,44.9,38,4.3
2022-07-12,65,26.7,32,16.2
2022-07-13,42,16.4,67,6.5
2022-07-14,189,44.8,75,6.6
2022-07-15,356,43.7,91,17.5
2022-07-16,216,22.6,75,11.4
2022-07-17,272,15.4,69,17.8
2022-07-18,115,38.5,64,8.6
2022-07-19,313,33.6,78,7.2
2022-07-20,95,32.5,58,10.4
2022-07-21,199,40.7,40,1.7
2022-07-22,74,32.6,74,3.5
2022-07-23,91,16.4,76,4.8
2022-07-24,470,32.8,60,16.4
2022-07-25,163,17.2,89,14.8
2022-07-26,313,35.4,68,4.3
2022-07-27,57,29.8,63,5.9
2022-07-28,137,8.1,54,18.9
2022-07-29,73,25.5,24,2.2
2022-07-30,369,18.7,90,11.2
2022-07-31,315,18.1,93,10.7
2022-08-01,475,29.1,93,14.7
2022-08-02,360,17.9,70,5.6
2022-08-03,157,36.1,76,18.7
2022-08-04,377,7.8,77,8.5
2022-08-05,260,31.4,55,6.1
2022-08-06,219,37.4,29,7.1
2022-08-07,254,31.9,69,7.3
2022-08-08,414,24.9,56,4.4
2022-08-09,406,43.0,39,18.6
2022-08-10,312,17.0,32,3.9
2022-08-11,475,5.8,94,17.7
2022-08-12,150,22.3,38,8.4
2022-08-13,145,6.3,75,5.8
2022-08-14,490,43.2,64,4.4
2022-08-15,262,13.4,79,10.3
2022-08-16,288,36.6,87,13.6
2022-08-17,388,36.0,76,18.0
2022-08-18,227,13.7,73,13.2
2022-08-19,485,29.8,56,9.9
2022-08-20,440,6.9,56,1.2
2022-08-21,166,24.3,33,18.4
2022-08-22,347,5.6,63,18.1
2022-08-23,194,41.8,61,7.9
2022-08-24,254,44.0,20,1.1
2022-08-25,336,13.9,42,14.8
2022-08-26,263,13.3,83,15.9
2022-08-27,201,35.1,47,11.1
2022-08-28,181,15.1,23,8.4
2022-08-29,492,40.8,60,17.1
2022-08-30,344,28.0,79,4.3
2022-08-31,403,19.0,37,9.1
2022-09-01,189,38.3,82,1.0
2022-09-02,125,24.7,80,3.7
2022-09-03,262,41.5,68,18.8
2022-09-04,209,42.1,66,11.8
2022-09-05,142,11.6,58,16.2
2022-09-06,347,5.1,25,10.0
2022-09-07,471,44.4,72,16.8
2022-09-08,81,41.2,44,11.0
2022-09-09,297,7.2,84,0.6
2022-09-10,324,38.3,24,18.0
2022-09-11,415,23.3,84,3.4
2022-09-12,416,15.4,27,9.3
2022-09-13,142,40.1,58,9.8
2022-09-14,130,12.9,62,1.4
2022-09-15,142,42.9,92,1.5
2022-09-16,469,13.2,24,15.4
2022-09-17,110,29.5,23,6.4
2022-09-18,216,13.9,20,8.5
2022-09-19,142,26.8,75,11.5
2022-09-20,31,32.4,64,7.8
2022-09-21,159,12.6,84,15.6
2022-09-22,249,25.8,22,17.7
2022-09-23,83,23.8,41,1.7
2022-09-24,372,7.8,91,12.9
2022-09-25,253,37.7,75,6.7
2022-09-26,254,18.4,37,11.9
2022-09-27,414,28.0,44,9.9
2022-09-28,432,25.6,67,7.0
2022-09-29,155,25.5,50,2.3
2022-09-30,159,9.3,49,11.4
2022-10-01,82,21.9,85,2.7
2022-10-02,201,23.1,29,3.5
2022-10-03,247,34.3,90,19.7
2022-10-04,189,38.6,78,6.7
2022-10-05,227,26.8,70,11.9
2022-10-06,445,8.5,28,5.8
2022-10-07,276,14.5,73,17.4
2022-10-08,353,11.6,81,6.0
2022-10-09,468,10.0,28,7.7
2022-10-10,232,19.6,28,12.4
2022-10-11,213,14.2,43,17.5
2022-10-12,152,13.7,58,16.4
2022-10-13,430,7.2,94,5.6
2022-10-14,284,5.7,27,16.7
2022-10-15,323,9.1,44,14.2
2022-10-16,309,11.9,85,19.8
2022-10-17,354,22.2,29,18.7
2022-10-18,401,25.4,43,10.9
2022-10-19,127,10.6,78,15.1
2022-10-20,227,22.0,50,11.6
2022-10-21,499,18.7,30,12.1
2022-10-22,424,12.3,25,2.5
2022-10-23,269,5.3,89,0.5
2022-10-24,173,23.7,51,1.4
2022-10-25,126,32.4,58,19.3
2022-10-26,230,14.1,67,3.0
2022-10-27,153,10.3,32,1.4
2022-10-28,216,40.5,78,6.5
2022-10-29,355,16.0,86,12.0
2022-10-30,493,13.9,75,19.0
2022-10-31,378,39.3,60,14.1
2022-11-01,288,37.7,75,5.9
2022-11-02,177,22.9,54,18.8
2022-11-03,281,24.6,57,1.2
2022-11-04,472,13.7,86,19.6
2022-11-05,449,8.1,53,1.6
2022-11-06,432,27.9,89,15.2
2022-11-07,375,8.9,30,1.4
2022-11-08,480,23.0,46,18.7
2022-11-09,176,42.6,67,2.6
2022-11-10,177,43.1,43,1.5
2022-11-11,381,14.6,37,17.8
2022-11-12,228,30.0,46,2.4
2022-11-13,337,24.0,73,16.1
2022-11-14,446,40.0,74,15.1
2022-11-15,453,15.9,40,12.2
2022-11-16,157,5.1,78,7.9
2022-11-17,68,11.5,53,18.4
2022-11-18,367,19.0,77,17.5
2022-11-19,389,17.6,67,8.8
2022-11-20,158,36.7,73,5.0
2022-11-21,296,32.2,37,5.8
2022-11-22,470,17.0,22,4.8
2022-11-23,463,23.3,43,11.1
2022-11-24,180,8.8,20,17.4
2022-11-25,444,40.9,25,15.6
2022-11-26,327,42.4,38,16.0
2022-11-27,128,44.2,62,9.2
2022-11-28,292,39.7,27,6.8
2022-11-29,281,12.0,88,15.3
2022-11-30,173,6.8,71,16.0
2022-12-01,375,28.2,92,14.1
2022-12-02,141,41.5,66,1.1
2022-12-03,89,12.1,47,12.0
2022-12-04,398,5.3,65,7.3
2022-12-05,31,37.2,23,4.3
2022-12-06,414,8.1,27,14.0
2022-12-07,333,21.5,80,5.7
2022-12-08,283,32.2,36,18.3
2022-12-09,169,14.5,53,6.3
2022-12-10,482,8.4,39,11.3
2022-12-11,66,35.8,93,16.6
2022-12-12,189,30.2,53,8.3
2022-12-13,38,44.5,62,16.7
2022-12-14,262,18.8,29,14.6
2022-12-15,128,7.5,49,18.5
2022-12-16,176,34.4,44,6.9
2022-12-17,333,25.9,76,2.5
2022-12-18,237,13.5,82,8.9
2022-12-19,160,36.3,90,15.8
2022-12-20,433,13.2,66,9.3
2022-12-21,181,15.4,22,5.6
2022-12-22,83,8.7,65,1.0
2022-12-23,149,21.0,55,6.6
2022-12-24,190,21.8,45,14.4
2022-12-25,437,25.6,29,3.4
2022-12-26,145,33.4,53,7.1
2022-12-27,104,41.2,27,0.9
2022-12-28,142,10.5,74,14.6
2022-12-29,485,7.2,29,17.7
2022-12-30,449,5.7,76,11.6
2022-12-31,451,10.7,64,1.0
2023-01-01,133,31.3,69,4.7
2023-01-02,369,34.1,83,9.1
2023-01-03,283,36.5,21,12.0
2023-01-04,256,14.7,64,10.2
2023-01-05,141,17.2,81,18.4
2023-01-06,128,24.3,33,18.8
2023-01-07,182,7.5,93,2.6
2023-01-08,378,29.4,34,3.2
2023-01-09,431,44.3,33,7.5
2023-01-10,413,19.4,50,8.7
2023-01-11,395,35.1,48,11.9
2023-01-12,367,25.0,46,15.6
2023-01-13,223,10.1,28,3.1
2023-01-14,339,28.3,39,16.2
2023-01-15,192,17.0,77,12.4
2023-01-16,237,6.4,68,19.6
2023-01-17,474,30.4,76,13.2
2023-01-18,198,39.4,35,14.5
2023-01-19,190,18.8,94,4.3
2023-01-20,97,20.6,27,15.5
2023-01-21,318,40.6,86,2.0
2023-01-22,427,37.5,38,13.3
2023-01-23,306,33.6,86,1.6
2023-01-24,333,15.0,55,2.7
2023-01-25,433,41.4,79,2.6
2023-01-26,413,11.2,55,1.5
2023-01-27,421,30.1,30,6.8
2023-01-28,164,6.2,70,19.9
2023-01-29,224,30.7,74,7.3
2023-01-30,430,16.1,73,15.3
2023-01-31,157,23.0,36,3.1
2023-02-01,62,18.8,81,9.4
2023-02-02,205,11.9,61,4.1
2023-02-03,489,29.9,43,4.2
2023-02-04,472,40.3,36,2.4
2023-02-05,400,43.4,67,8.9
2023-02-06,499,12.7,89,2.0
2023-02-07,404,33.7,26,18.2
2023-02-08,51,31.6,33,9.2
2023-02-09,267,18.7,30,16.9
2023-02-10,187,5.8,31,19.6
2023-02-11,67,32.6,24,13.7
2023-02-12,259,42.8,24,18.1
2023-02-13,394,30.3,39,3.1
2023-02-14,80,22.4,73,16.7
2023-02-15,467,26.0,74,5.8
2023-02-16,293,13.0,77,9.7
2023-02-17,312,35.0,49,13.1
2023-02-18,56,34.9,43,18.1
2023-02-19,255,10.8,92,18.3
2023-02-20,306,40.1,22,2.3
2023-02-21,315,15.8,67,7.6
2023-02-22,126,44.3,90,16.0
2023-02-23,313,20.3,41,14.2
2023-02-24,396,12.1,33,1.0
2023-02-25,477,19.1,67,9.3
2023-02-26,482,22.6,48,16.7
2023-02-27,346,7.8,69,14.9
2023-02-28,333,28.1,29,8.5
2023-03-01,176,28.9,90,14.8
2023-03-02,33,34.6,46,11.2
2023-03-03,64,6.2,47,18.3
2023-03-04,221,26.6,28,11.9
2023-03-05,78,7.1,90,8.3
2023-03-06,46,33.0,45,17.3
2023-03-07,201,7.2,27,1.5
2023-03-08,249,41.5,21,18.1
2023-03-09,187,33.1,76,14.1
2023-03-10,75,25.3,71,18.8
2023-03-11,402,22.7,77,5.4
2023-03-12,35,10.2,22,14.1
2023-03-13,128,16.6,27,16.3
2023-03-14,409,39.8,78,14.2
2023-03-15,262,41.2,21,4.6
2023-03-16,66,5.0,81,5.9
2023-03-17,309,28.8,68,11.6
2023-03-18,378,33.8,39,9.2
2023-03-19,331,29.7,48,14.8
2023-03-20,210,8.3,36,7.9
2023-03-21,124,13.7,93,17.3
2023-03-22,128,15.0,41,8.9
2023-03-23,217,38.3,25,1.3
2023-03-24,145,23.5,81,0.8
2023-03-25,220,24.5,50,13.1
2023-03-26,282,42.4,81,11.0
2023-03-27,498,30.5,31,11.1
2023-03-28,445,40.9,31,15.9
2023-03-29,190,23.3,82,7.8
2023-03-30,285,11.0,35,19.9
2023-03-31,352,42.2,44,18.9
2023-04-01,157,23.3,41,0.8
2023-04-02,47,12.3,37,18.0
2023-04-03,310,17.1,64,13.8
2023-04-04,252,7.0,87,10.3
2023-04-05,83,23.7,31,11.9
2023-04-06,87,39.1,68,16.9
2023-04-07,352,42.3,52,19.0
2023-04-08,389,42.3,82,11.4
2023-04-09,203,10.0,37,4.0
2023-04-10,309,20.3,73,13.0
2023-04-11,143,6.1,46,2.0
2023-04-12,317,39.2,44,12.9
2023-04-13,460,19.4,53,16.3
2023-04-14,371,30.2,79,7.4
2023-04-15,180,33.6,73,1.9
2023-04-16,479,22.2,24,14.0
2023-04-17,156,17.3,55,7.1
2023-04-18,184,43.5,73,5.4
2023-04-19,415,43.6,55,13.9
2023-04-20,302,16.6,88,19.4
2023-04-21,133,24.2,58,15.0
2023-04-22,446,43.9,89,10.1
2023-04-23,422,5.2,23,12.2
2023-04-24,328,21.5,93,3.3
2023-04-25,275,9.0,84,16.4
2023-04-26,205,25.4,59,12.3
2023-04-27,68,6.0,56,19.3
2023-04-28,199,21.3,86,19.6
2023-04-29,276,13.8,50,7.4
2023-04-30,55,26.3,66,19.8
2023-05-01,384,44.8,46,19.2
2023-05-02,335,37.0,70,13.0
2023-05-03,438,38.8,39,7.0
2023-05-04,437,30.4,32,15.2
2023-05-05,42,6.7,82,5.8
2023-05-06,345,13.3,63,12.8
2023-05-07,420,42.0,43,1.0
2023-05-08,342,19.6,22,12.8
2023-05-09,65,9.1,29,19.1
2023-05-10,202,33.1,84,5.1
2023-05-11,49,17.0,68,15.7
2023-05-12,350,15.8,77,6.2
2023-05-13,293,44.9,21,14.3
2023-05-14,429,39.3,85,14.1
2023-05-15,171,21.3,50,4.1
2023-05-16,489,44.2,87,12.1
2023-05-17,400,31.0,56,17.3
2023-05-18,172,34.7,92,8.0
2023-05-19,121,6.3,43,14.4
2023-05-20,383,9.9,63,13.7
2023-05-21,351,30.3,60,5.5
2023-05-22,317,41.0,93,18.4
2023-05-23,244,29.9,70,11.5
2023-05-24,476,10.4,61,7.4
2023-05-25,371,9.6,59,3.7
2023-05-26,80,38.8,67,9.7
2023-05-27,182,10.6,23,14.7
2023-05-28,215,25.8,79,12.7
2023-05-29,92,6.5,58,14.7
2023-05-30,219,8.2,24,15.9
2023-05-31,154,31.9,25,9.1
2023-06-01,179,32.6,33,10.6
2023-06-02,343,18.7,89,19.7
2023-06-03,87,13.6,31,19.4
2023-06-04,371,37.5,81,8.6
2023-06-05,334,13.7,46,13.9
2023-06-06,209,26.7,73,5.7
2023-06-07,199,43.7,31,3.5
2023-06-08,355,10.9,27,15.5
2023-06-09,300,42.6,93,9.0
2023-06-10,83,12.3,35,4.0
2023-06-11,473,27.7,71,15.3
2023-06-12,130,20.1,45,18.3
2023-06-13,293,43.6,27,18.7
2023-06-14,82,15.9,64,12.1
2023-06-15,89,21.0,38,9.9
2023-06-16,137,44.3,36,3.3
2023-06-17,34,26.5,84,16.0
2023-06-18,132,25.1,48,18.9
2023-06-19,225,15.3,33,17.8
2023-06-20,291,33.1,36,15.2
2023-06-21,394,5.6,32,0.6
2023-06-22,401,7.0,82,8.5
2023-06-23,379,29.0,52,8.5
2023-06-24,76,18.7,48,17.9
2023-06-25,384,43.1,56,1.8
2023-06-26,340,41.1,65,10.9
2023-06-27,453,33.5,43,3.2
2023-06-28,337,37.7,33,13.4
2023-06-29,173,31.7,24,15.9
2023-06-30,298,10.0,72,13.0
2023-07-01,399,35.6,49,16.0
2023-07-02,153,13.4,79,12.3
2023-07-03,135,17.9,92,4.2
2023-07-04,187,37.8,47,8.0
2023-07-05,176,26.5,45,19.2
2023-07-06,174,39.4,37,6.1
2023-07-07,149,13.5,55,1.7
2023-07-08,348,29.3,27,8.0
2023-07-09,304,8.4,37,7.6
2023-07-10,121,30.7,77,9.7
2023-07-11,87,35.5,51,11.4
2023-07-12,468,28.4,68,19.9
2023-07-13,375,15.6,67,15.2
2023-07-14,258,6.3,90,1.2
2023-07-15,146,9.8,84,14.4
2023-07-16,347,29.9,52,16.6
2023-07-17,308,42.4,69,18.0
2023-07-18,156,13.3,23,8.8
2023-07-19,422,34.4,55,6.6
2023-07-20,425,39.7,47,16.9
2023-07-21,158,25.8,22,15.7
2023-07-22,87,31.8,25,11.0
2023-07-23,151,37.6,64,2.8
2023-07-24,30,15.4,42,13.2
2023-07-25,268,16.9,26,1.8
2023-07-26,319,5.0,80,2.5
2023-07-27,125,43.5,84,7.0
2023-07-28,155,41.7,25,7.7
2023-07-29,147,35.6,43,9.5
2023-07-30,77,8.2,56,7.1
2023-07-31,118,22.9,64,1.2
2023-08-01,266,9.1,70,3.6
2023-08-02,402,5.6,64,2.7
2023-08-03,414,29.6,82,8.9
2023-08-04,301,43.4,48,4.6
2023-08-05,218,41.1,44,6.2
2023-08-06,221,32.9,29,9.7
2023-08-07,476,8.9,54,5.1
2023-08-08,98,16.0,74,5.3
2023-08-09,307,17.8,44,16.7
2023-08-10,378,35.5,64,11.2
2023-08-11,276,37.1,31,17.2
2023-08-12,480,20.4,23,10.5
2023-08-13,105,21.7,86,18.2
2023-08-14,183,6.8,36,5.5
2023-08-15,173,16.6,92,12.5
2023-08-16,464,23.1,84,10.3
2023-08-17,115,9.7,72,18.4
2023-08-18,214,23.1,76,8.7
2023-08-19,314,39.1,47,17.2
2023-08-20,491,28.3,35,11.5
2023-08-21,249,8.2,40,14.3
2023-08-22,98,12.7,61,17.8
2023-08-23,76,24.0,73,19.9
2023-08-24,123,19.5,51,14.8
2023-08-25,267,19.3,57,6.6
2023-08-26,475,26.2,89,6.3
2023-08-27,482,28.4,57,6.5
2023-08-28,233,36.9,73,2.4
2023-08-29,429,18.6,79,1.5
2023-08-30,247,37.2,66,11.8
2023-08-31,461,18.5,31,16.3
2023-09-01,370,7.2,72,1.2
2023-09-02,68,27.2,52,11.5
2023-09-03,129,28.5,47,7.7
2023-09-04,318,42.4,22,17.9
2023-09-05,283,34.0,45,3.3
2023-09-06,251,41.7,73,11.5
2023-09-07,386,41.3,59,19.4
2023-09-08,52,29.2,85,7.2
2023-09-09,279,26.1,87,15.0
2023-09-10,39,27.3,66,17.7
2023-09-11,275,44.1,21,4.1
2023-09-12,354,35.9,61,19.9
2023-09-13,129,9.3,53,16.3
2023-09-14,319,36.1,40,3.2
2023-09-15,209,11.8,63,6.6
2023-09-16,252,22.9,21,12.7
2023-09-17,423,13.4,78,17.8
2023-09-18,279,32.6,35,4.3
2023-09-19,176,40.1,39,14.8
2023-09-20,471,16.6,45,5.8
2023-09-21,125,8.3,35,16.2
2023-09-22,286,16.9,89,13.8
2023-09-23,354,31.9,42,10.7
2023-09-24,33,18.2,61,13.2
2023-09-25,45,16.1,56,17.6
2023-09-26,309,12.4,91,8.0
2023-09-27,365,24.9,25,15.5
2023-09-28,276,16.0,56,3.6
2023-09-29,287,34.2,41,14.2
2023-09-30,413,8.1,25,15.1
2023-10-01,189,31.6,51,9.1
2023-10-02,369,14.5,36,16.0
2023-10-03,181,24.6,57,11.4
2023-10-04,425,16.4,36,18.8
2023-10-05,207,33.9,56,2.7
2023-10-06,192,42.8,42,3.1
2023-10-07,409,41.7,68,16.9
2023-10-08,62,28.3,80,16.9
2023-10-09,446,23.5,68,9.7
2023-10-10,474,37.7,80,19.3
2023-10-11,208,32.3,51,13.7
2023-10-12,456,12.3,82,19.7
2023-10-13,130,37.8,26,10.9
2023-10-14,297,22.2,41,4.4
2023-10-15,352,12.6,25,9.2
2023-10-16,94,16.3,80,19.6
2023-10-17,446,15.7,33,7.7
2023-10-18,197,25.8,35,19.2
2023-10-19,359,14.4,22,16.0
2023-10-20,72,9.9,28,9.1
2023-10-21,73,9.9,66,11.1
2023-10-22,314,28.3,61,12.3
2023-10-23,426,34.4,61,13.5
2023-10-24,41,17.9,42,2.0
2023-10-25,124,6.4,22,18.7
2023-10-26,331,10.1,20,12.1
2023-10-27,415,41.6,86,18.7
2023-10-28,282,24.7,90,12.8
2023-10-29,271,23.1,22,8.9
2023-10-30,64,6.5,68,11.6
2023-10-31,244,34.1,86,16.7
2023-11-01,366,26.1,74,6.9
2023-11-02,119,13.1,23,19.2
2023-11-03,293,9.4,50,9.6
2023-11-04,122,20.3,85,19.1
2023-11-05,439,38.5,83,17.7
2023-11-06,487,39.6,50,15.5
2023-11-07,119,29.1,82,9.6
2023-11-08,447,34.1,85,11.9
2023-11-09,144,9.6,50,16.8
2023-11-10,134,28.5,66,11.1
2023-11-11,420,31.7,41,14.9
2023-11-12,225,13.0,93,15.9
2023-11-13,343,40.2,65,10.5
2023-11-14,143,12.8,77,11.0
2023-11-15,104,17.5,80,4.4
2023-11-16,442,29.8,65,5.3
2023-11-17,405,30.5,20,18.1
2023-11-18,449,33.0,44,16.9
2023-11-19,246,9.5,80,0.7
2023-11-20,306,39.0,33,17.5
2023-11-21,278,26.3,64,1.0
2023-11-22,193,23.9,58,9.4
2023-11-23,423,44.2,85,1.8
2023-11-24,386,34.6,51,19.4
2023-11-25,486,9.7,77,19.5
2023-11-26,437,35.3,75,12.4
2023-11-27,221,8.8,25,8.1
2023-11-28,256,6.1,86,10.5
2023-11-29,206,21.1,69,15.4
2023-11-30,128,44.7,57,4.9
2023-12-01,65,12.0,22,9.1
2023-12-02,495,31.9,24,14.9
2023-12-03,125,11.9,43,8.2
2023-12-04,181,34.0,73,1.1
2023-12-05,180,25.2,53,10.4
2023-12-06,219,32.2,58,14.9
2023-12-07,253,13.1,67,19.5
2023-12-08,66,34.8,68,1.2
2023-12-09,297,44.8,53,11.0
2023-12-10,398,31.6,26,9.3
2023-12-11,212,24.7,37,5.2
2023-12-12,42,41.9,89,12.9
2023-12-13,308,5.6,53,3.7
2023-12-14,246,34.2,70,6.0
2023-12-15,384,40.5,87,15.7
2023-12-16,390,7.5,33,9.5
2023-12-17,315,23.0,88,19.9
2023-12-18,302,13.2,27,8.0
2023-12-19,398,27.7,34,9.5
2023-12-20,91,31.0,78,6.4
2023-12-21,113,17.1,30,5.1
2023-12-22,397,23.4,39,18.5
2023-12-23,246,16.2,74,15.1
2023-12-24,371,19.8,55,7.0
2023-12-25,426,11.4,33,14.2
2023-12-26,216,40.4,77,19.3
2023-12-27,48,5.4,57,1.9
2023-12-28,206,40.3,20,5.7
2023-12-29,129,27.9,84,4.4
2023-12-30,425,18.3,20,17.5
2023-12-31,474,33.9,79,4.0
2024-01-01,262,25.3,44,6.5
2024-01-02,432,25.0,29,11.1
2024-01-03,105,9.4,69,12.6
